2014-10-14 19:52:40, iranonlinetv, Live Stream: #Football - #Germany 0-0  #Ireland First Half\nWatch Now:http:\/\/t.co\/YlIu0t0fNA
2014-10-14 19:52:40, updl, Live Stream: #Football - #Germany 0-0  #Ireland First Half\nWatch Now:http:\/\/t.co\/bwYXHfpwsX
2014-10-14 19:52:40, LOGECT, Live Stream: #Football - #Germany 0-0  #Ireland First Half\nWatch Now:http:\/\/t.co\/HwL6Cg7BPB
2014-10-14 19:52:40, iranshabake, Live Stream: #Football - #Germany 0-0  #Ireland First Half\nWatch Now:http:\/\/t.co\/uSUGgSGLOq
2014-10-14 19:52:40, gosourceinfo, Live Stream: #Football - #Germany 0-0  #Ireland First Half\nWatch Now:http:\/\/t.co\/N1MACbojg4
2014-10-14 19:52:43, JaviTsunami_, RT @worldsoccershop: If #Muller scores for #Germany today we'll give away a pair of adidas #F50 boots! Follow &amp; RT to enter! http:\/\/t.co\/vz\u2026
2014-10-14 19:52:44, victorlopez1717, RT @worldsoccershop: If #Muller scores for #Germany today we'll give away a pair of adidas #F50 boots! Follow &amp; RT to enter! http:\/\/t.co\/vz\u2026
2014-10-14 19:52:47, iranshabake, RT @LOGECT: Live Stream: #Football - #Germany 0-0  #Ireland First Half\nWatch Now:http:\/\/t.co\/HwL6Cg7BPB
2014-10-14 19:52:47, iranonlinetv, RT @LOGECT: Live Stream: #Football - #Germany 0-0  #Ireland First Half\nWatch Now:http:\/\/t.co\/HwL6Cg7BPB
2014-10-14 19:52:47, updl, RT @LOGECT: Live Stream: #Football - #Germany 0-0  #Ireland First Half\nWatch Now:http:\/\/t.co\/HwL6Cg7BPB
2014-10-14 19:52:47, gosourceinfo, RT @LOGECT: Live Stream: #Football - #Germany 0-0  #Ireland First Half\nWatch Now:http:\/\/t.co\/HwL6Cg7BPB
2014-10-14 19:52:49, ArmForcesMedia, On this day in 1941: #Germany ordered all #Jews within 1933 border deported; travel began to Poland; Byleorussia; Ukraine. #WW2 #WWII
2014-10-14 19:52:49, _fangg, \u0e08\u0e30\u0e2b\u0e25\u0e48\u0e2d\u0e01\u0e31\u0e19\u0e40\u0e01\u0e34\u0e19\u0e44\u0e1b\u0e25\u0e30\u0e19\u0e30 #Germany
2014-10-14 19:52:53, Ginter28, RT @OptaFranz: 1 - For the first time; Matthias Ginter is in the starting eleven for #Germany in a competitive game. Youngster. #GERIRL
2014-10-14 19:53:01, Mike_81637, RT @worldsoccershop: If #Muller scores for #Germany today we'll give away a pair of adidas #F50 boots! Follow &amp; RT to enter! http:\/\/t.co\/vz\u2026
2014-10-14 19:53:05, djlaww, RT @MediaStormKidd: #mixtapes &amp; #mixes 4 radio plays on #Blackbeat_fm  #GERMANY http:\/\/t.co\/HjcQePMTx5 4 email 2 send linkx @djlaww @djicep\u2026
